id;color;modelo;marca;anio;precio
1;Azul;open-source;Terrenos invoic;2021-10-17T04:37:17;24635
2;Negro;withdrawal port;Account artific;2021-10-17T02:59:21;62467
3;Morado;Exclusivo Ladri;visionary estru;2021-10-17T02:22:42;64270
4;Verde;Plástico;Berkshire flexi;2021-10-17T11:22:31;50731
5;Azul;deliver Cine cu;Ladrillo Serbia;2021-10-17T20:13:14;57683
6;Morado;invoice aprovec;Director input ;2021-10-17T17:37:07;60974
7;Amarillo;International;unleash invoice;2021-10-16T22:20:17;25774
8;Violeta;reboot Administ;Account;2021-10-17T05:14:43;65304
9;Amarillo;invoice Hogar s;Borders eyeball;2021-10-17T07:18:29;17436
10;Amarillo;mano;virtual Configu;2021-10-16T21:13:56;58198
