id;color;modelo;marca;anio;precio
1;Amarillo;copying Baleare;multiestado mul;2021-10-17T13:31:22;69213
2;Gris;Salud;Principado La V;2021-10-17T05:11:46;3580
3;Rojo;Account optimiz;aggregate;2021-10-17T10:44:35;29664
4;Morado;Inversor;Dobra Sri;2021-10-17T19:58:47;34175
5;Violeta;integrate;conjunto;2021-10-17T16:33:04;7047
6;Verde;Informática;capacidad Ergon;2021-10-16T21:55:05;27686
7;Azul;Comodos;deposit;2021-10-17T12:54:16;21014
8;Gris;enX;Adelante;2021-10-17T06:14:11;83610
9;Negro;PCI circuit;Cantabria Panam;2021-10-17T09:52:00;81976
10;Morado;XML Rojo;architect;2021-10-16T22:03:43;80426
